total de voitures,Ménages sans voiture,Ménages avec une voiture,Ménages avec deux voitures ou plus,Ménages avec place(s) de stationnement,Nombre total d'accidents,Nombre de personnes tuées,Nombre de personnes indemnes,Nombre de personnes blessées, - dont blessés graves, - dont blessés légers,ville,lien
10724.0,3535.0,7074.0,3650.0,8026.0,24.0,2.0,21.0,26.0,16.0,10.0,Baie-Mahault (97122),/management/ville/baie-mahault/ville-97103
1320.0,1526.0,868.0,452.0,533.0,2.0,0.0,2.0,2.0,2.0,0.0,Anse-Bertrand (97121),/management/ville/anse-bertrand/ville-97102
2681.0,3462.0,2154.0,526.0,970.0,18.0,1.0,19.0,47.0,8.0,39.0,Basse-Terre (97100),/management/ville/basse-terre/ville-97105
1705.0,1525.0,1197.0,507.0,1350.0,2.0,0.0,2.0,4.0,3.0,1.0,Baillif (97123),/management/ville/baillif/ville-97104
1879.0,2235.0,1287.0,592.0,1118.0,8.0,1.0,11.0,11.0,5.0,6.0,Bouillante (97125),/management/ville/bouillante/ville-97106
1254.0,1903.0,800.0,454.0,891.0,6.0,1.0,3.0,8.0,3.0,5.0,Deshaies (97126),/management/ville/deshaies/ville-97111
5005.0,5082.0,3472.0,1532.0,3916.0,26.0,4.0,22.0,29.0,14.0,15.0,Capesterre-Belle-Eau (97130),/management/ville/capesterre-belle-eau/ville-97107
329.0,768.0,288.0,40.0,202.0,3.0,0.0,2.0,4.0,4.0,0.0,La Désirade (97127),/management/ville/la-desirade/ville-97110
2485.0,1742.0,1746.0,739.0,1877.0,3.0,1.0,2.0,2.0,2.0,0.0,Gourbeyre (97113),/management/ville/gourbeyre/ville-97109
2452.0,1254.0,1635.0,817.0,1850.0,5.0,2.0,5.0,6.0,3.0,3.0,Goyave (97128),/management/ville/goyave/ville-97114
5396.0,3090.0,3414.0,1982.0,4856.0,13.0,1.0,11.0,15.0,10.0,5.0,Lamentin (97129),/management/ville/lamentin/ville-97115
872.0,1491.0,672.0,199.0,246.0,4.0,0.0,1.0,6.0,4.0,2.0,Capesterre-de-Marie-Galante (97140),/management/ville/capesterre-de-marie-galante/ville-97108
1382.0,2335.0,1058.0,324.0,577.0,10.0,5.0,8.0,13.0,9.0,4.0,Grand-Bourg (97112),/management/ville/grand-bourg/ville-97112
9530.0,7269.0,6354.0,3177.0,8916.0,59.0,5.0,60.0,71.0,27.0,44.0,Le Gosier (97190),/management/ville/le-gosier/ville-97113
8391.0,3569.0,5149.0,3242.0,6787.0,11.0,5.0,8.0,12.0,5.0,7.0,Petit-Bourg (97170),/management/ville/petit-bourg/ville-97118
5225.0,4487.0,3604.0,1622.0,3387.0,11.0,3.0,14.0,11.0,3.0,8.0,Morne-à-l'Eau (97111),/management/ville/morne-a-l-eau/ville-97116
6904.0,5605.0,4504.0,2399.0,3213.0,16.0,1.0,18.0,20.0,10.0,10.0,Le Moule (97160),/management/ville/le-moule/ville-97117
15935.0,14776.0,12125.0,3809.0,12312.0,55.0,4.0,51.0,75.0,26.0,49.0,Les Abymes (97139),/management/ville/les-abymes/ville-97101
3754.0,6810.0,3294.0,460.0,520.0,14.0,0.0,11.0,14.0,6.0,8.0,Pointe-à-Pitre (97110),/management/ville/pointe-a-pitre/ville-97120
2420.0,1761.0,1488.0,932.0,1610.0,7.0,1.0,5.0,10.0,7.0,3.0,Petit-Canal (97131),/management/ville/petit-canal/ville-97119
5661.0,4561.0,3804.0,1858.0,2911.0,10.0,2.0,12.0,16.0,7.0,9.0,Sainte-Rose (97115),/management/ville/sainte-rose/ville-97129
1620.0,1956.0,1193.0,427.0,938.0,4.0,0.0,4.0,7.0,5.0,2.0,Port-Louis (97117),/management/ville/port-louis/ville-97122
4272.0,6293.0,2754.0,1518.0,3243.0,13.0,2.0,15.0,16.0,8.0,8.0,Saint-François (97118),/management/ville/saint-francois/ville-97125
639.0,1558.0,485.0,154.0,167.0,1.0,0.0,1.0,5.0,1.0,4.0,Saint-Louis (97134),/management/ville/saint-louis/ville-97126
3752.0,2110.0,2425.0,1327.0,3463.0,3.0,0.0,2.0,4.0,3.0,1.0,Saint-Claude (97120),/management/ville/saint-claude/ville-97124
1712.0,2418.0,1220.0,492.0,1008.0,4.0,1.0,4.0,3.0,2.0,1.0,Pointe-Noire (97116),/management/ville/pointe-noire/ville-97121
56.0,911.0,54.0,2.0,60.0,4.0,0.0,0.0,4.0,4.0,0.0,Terre-de-Haut (97137),/management/ville/terre-de-haut/ville-97131
7695.0,7568.0,4951.0,2744.0,4357.0,19.0,3.0,19.0,20.0,14.0,6.0,Sainte-Anne (97180),/management/ville/sainte-anne/ville-97128
125.0,553.0,117.0,8.0,31.0,3.0,0.0,0.0,4.0,2.0,2.0,Terre-de-Bas (97136),/management/ville/terre-de-bas/ville-97130
2426.0,2569.0,1535.0,891.0,1791.0,3.0,0.0,3.0,3.0,1.0,2.0,Trois-Rivières (97114),/management/ville/trois-rivieres/ville-97132
592.0,324.0,344.0,248.0,503.0,1.0,0.0,0.0,1.0,0.0,1.0,Vieux-Fort (97141),/management/ville/vieux-fort/ville-97133
2089.0,2201.0,1487.0,602.0,1517.0,5.0,2.0,7.0,4.0,3.0,1.0,Vieux-Habitants (97119),/management/ville/vieux-habitants/ville-97134
